Month,date,Sunrise+1,Sunset-1
1,1,10,14
1,2,10,14
1,3,10,14
1,4,10,14
1,5,10,14
1,6,10,14
1,7,10,14
1,8,10,14
1,9,10,14
1,10,10,14
1,11,10,14
1,12,10,14
1,13,10,14
1,14,10,14
1,15,10,14
1,16,10,14
1,17,10,15
1,18,9,15
1,19,9,15
1,20,9,15
1,21,9,15
1,22,9,15
1,23,9,15
1,24,9,15
1,25,9,15
1,26,9,15
1,27,9,15
1,28,9,15
1,29,9,15
1,30,9,15
1,31,9,15
2,1,9,15
2,2,9,15
2,3,9,15
2,4,9,15
2,5,9,15
2,6,9,15
2,7,9,15
2,8,9,15
2,9,9,15
2,10,9,16
2,11,9,16
2,12,9,16
2,13,9,16
2,14,8,16
2,15,8,16
2,16,8,16
2,17,8,16
2,18,8,16
2,19,8,16
2,20,8,16
2,21,8,16
2,22,8,16
2,23,8,16
2,24,8,16
2,25,8,16
2,26,8,16
2,27,8,16
2,28,8,16
3,1,8,16
3,2,8,16
3,3,8,16
3,4,8,16
3,5,8,16
3,6,8,17
3,7,7,17
3,8,7,17
3,9,7,17
3,10,7,17
3,11,7,17
3,12,7,17
3,13,7,17
3,14,7,17
3,15,7,17
3,16,7,17
3,17,7,17
3,18,7,17
3,19,7,17
3,20,7,17
3,21,7,17
3,22,7,17
3,23,7,17
3,24,7,17
3,25,7,17
3,26,7,17
3,27,7,17
3,28,7,18
3,29,7,18
3,30,7,18
3,31,7,19
4,1,7,19
4,2,7,19
4,3,7,19
4,4,7,19
4,5,7,19
4,6,7,19
4,7,7,19
4,8,7,19
4,9,7,19
4,10,7,19
4,11,7,19
4,12,7,19
4,13,7,19
4,14,7,19
4,15,7,19
4,16,7,19
4,17,6,19
4,18,6,19
4,19,6,19
4,20,6,19
4,21,6,19
4,22,6,19
4,23,6,19
4,24,6,19
4,25,6,20
4,26,6,20
4,27,6,20
4,28,6,20
4,29,6,20
4,30,6,20
5,1,6,20
5,2,6,20
5,3,6,20
5,4,6,20
5,5,6,20
5,6,6,20
5,7,6,20
5,8,6,20
5,9,6,20
5,10,5,20
5,11,5,20
5,12,5,20
5,13,5,20
5,14,5,20
5,15,5,20
5,16,5,20
5,17,5,20
5,18,5,20
5,19,5,20
5,20,5,20
5,21,5,21
5,22,5,21
5,23,5,21
5,24,5,21
5,25,5,21
5,26,5,21
5,27,5,21
5,28,5,21
5,29,5,21
5,30,5,21
5,31,5,21
6,1,5,21
6,2,5,21
6,3,5,21
6,4,5,21
6,5,5,21
6,6,5,21
6,7,5,21
6,8,5,21
6,9,5,21
6,10,5,21
6,11,5,21
6,12,5,21
6,13,5,21
6,14,5,21
6,15,5,21
6,16,5,21
6,17,5,21
6,18,5,21
6,19,5,21
6,20,5,21
6,21,5,21
6,22,5,21
6,23,5,21
6,24,5,21
6,25,5,21
6,26,5,21
6,27,5,21
6,28,5,21
6,29,5,21
6,30,5,21
7,1,5,21
7,2,5,21
7,3,5,21
7,4,5,21
7,5,5,21
7,6,5,21
7,7,5,21
7,8,5,21
7,9,5,21
7,10,5,21
7,11,5,21
7,12,5,21
7,13,5,21
7,14,5,21
7,15,5,21
7,16,5,21
7,17,5,21
7,18,5,21
7,19,5,21
7,20,5,21
7,21,5,21
7,22,5,21
7,23,5,21
7,24,5,21
7,25,5,21
7,26,5,21
7,27,5,20
7,28,5,20
7,29,5,20
7,30,6,20
7,31,6,20
8,1,6,20
8,2,6,20
8,3,6,20
8,4,6,20
8,5,6,20
8,6,6,20
8,7,6,20
